date,activity,amount,unit,emissions_kg,category,region,purpose,offset,emissions_per_unit,notes
2025-04-17,tap_water,159.3,liters,0.05,water,USA,commute,Yes,0.0003,solar usage
2025-04-01,plastic,448.4,kg,2690.4,waste,India,purchase,No,6.0,morning commute
2025-07-25,bottled_water,369.3,liters,36.93,water,USA,leisure,Yes,0.1,solar usage
2025-04-06,bus,313.03,km,31.3,transportation,Australia,home use,Yes,0.1,solar usage
2025-05-23,flight,468.81,km,117.2,transportation,Australia,travel,No,0.25,new device
2025-04-03,natural_gas,398.69,kg,916.99,energy,Australia,leisure,Yes,2.3,office recycling
2025-06-10,electricity,198.01,kWh,79.2,energy,Brazil,work,Yes,0.4,summer cooling
2025-02-23,electronics,233.23,kg,2332.3,goods,India,home use,Yes,10.0,new device
2025-04-22,food_waste,66.92,kg,127.15,waste,USA,work,No,1.9,summer cooling
2025-06-30,clothing,454.61,kg,1363.83,goods,Germany,commute,Yes,3.0,morning commute
2025-06-08,tap_water,277.78,liters,0.08,water,Australia,work,Yes,0.0003,short haul flight
2025-05-07,solar_power,255.72,kWh,2.56,energy,India,home use,Yes,0.01,morning commute
2025-05-11,train,6.76,km,0.34,transportation,India,work,No,0.0503,solar usage
2025-03-29,tap_water,41.76,liters,0.01,water,Australia,disposal,Yes,0.0002,office recycling
2025-03-28,paper,127.82,kg,230.08,waste,Australia,work,Yes,1.8,summer cooling
2025-07-25,plastic,275.28,kg,1651.68,waste,Brazil,commute,Yes,6.0,office recycling
2025-06-30,electricity,99.03,kWh,39.61,energy,Brazil,commute,Yes,0.4,new device
2025-07-13,solar_power,195.36,kWh,1.95,energy,Germany,travel,No,0.01,solar usage
2025-05-29,tap_water,183.62,liters,0.06,water,Brazil,travel,No,0.0003,office recycling
2025-03-31,clothing,384.0,kg,1152.0,goods,India,purchase,Yes,3.0,morning commute
2025-06-08,natural_gas,316.16,kg,727.17,energy,Australia,home use,Yes,2.3,new device
2025-03-03,food_waste,346.16,kg,657.7,waste,Australia,travel,Yes,1.9,summer cooling
2025-05-11,clothing,249.44,kg,748.32,goods,USA,travel,No,3.0,morning commute
