date,category,activity,amount,unit,region,purpose,offset,emissions_kg,emissions_per_unit,notes,energy_kcal
2025-07-16,energy,heating_oil,434.6,kg,USA,leisure,Yes,1164.73,2.68,short haul flight,8153110.0
2025-06-03,water,tap_water,41.99,liters,USA,travel,Yes,0.01,0.0002,new device,70.0
2025-03-12,energy,electricity,319.56,kWh,India,home use,Yes,262.04,0.82,office recycling,1834280.0
2025-02-02,goods,clothing,97.09,kg,USA,commute,Yes,291.27,3.0,summer cooling,2038890.0
2025-02-06,transportation,bike,6.25,km,India,disposal,No,0.06,0.0096,solar usage,420.0
2025-03-25,goods,clothing,7.91,kg,Australia,disposal,Yes,23.73,3.0,summer cooling,166110.0
2025-05-14,goods,electronics,260.9,kg,Germany,commute,Yes,2609.0,10.0,office recycling,18263000.0
2025-04-07,water,bottled_water,127.91,liters,India,home use,Yes,12.79,0.1,grocery run,89530.0
2025-07-15,transportation,flight,383.0,km,USA,disposal,No,57.45,0.15,short haul flight,402150.0
2025-03-09,water,tap_water,232.28,liters,Australia,home use,No,0.07,0.0003,grocery run,490.0
2025-05-24,transportation,train,235.7,km,Australia,travel,Yes,3.3,0.014,new device,23100.0
2025-02-05,goods,electronics,221.45,kg,Germany,home use,Yes,2214.5,10.0,office recycling,15501500.0
2025-03-26,transportation,bike,450.12,km,Brazil,home use,No,4.5,0.01,morning commute,31500.0
2025-06-24,energy,electricity,414.56,kWh,Brazil,work,Yes,339.94,0.82,summer cooling,2379580.0
2025-06-29,transportation,flight,497.64,km,Australia,disposal,No,74.65,0.15,solar usage,522550.0
2025-05-10,waste,food_waste,115.95,kg,USA,travel,No,220.31,1.9,short haul flight,1542170.0
2025-02-18,energy,electricity,261.53,kWh,India,leisure,Yes,214.45,0.82,summer cooling,1501150.0
2025-01-31,water,bottled_water,67.62,liters,USA,work,Yes,6.76,0.1,summer cooling,47320.0
2025-05-13,transportation,bike,261.4,km,USA,purchase,No,2.61,0.01,summer cooling,18270.0
2025-07-11,energy,solar_power,15.84,kWh,Brazil,travel,Yes,0.16,0.0101,summer cooling,1120.0
2025-04-28,energy,electricity,491.92,kWh,Brazil,work,No,403.37,0.82,new device,2823590.0
2025-05-10,goods,electronics,453.98,kg,India,disposal,Yes,4539.8,10.0,short haul flight,31778600.0
2025-06-26,energy,heating_oil,198.51,kg,Australia,purchase,Yes,532.01,2.68,new device,3724070.0
2025-07-17,waste,paper,395.47,kg,Brazil,work,No,711.85,1.8,grocery run,4982950.0
2025-06-07,transportation,train,312.59,km,Germany,travel,Yes,4.38,0.014,new device,30660.0
2025-06-16,goods,electronics,460.84,kg,Brazil,travel,Yes,4608.4,10.0,new device,32258800.0
2025-06-29,transportation,bus,43.43,km,Brazil,purchase,No,4.19,0.0965,short haul flight,29330.0
2025-04-26,goods,clothing,316.78,kg,India,commute,Yes,950.34,3.0,summer cooling,6652380.0
2025-06-08,transportation,car,482.97,km,Germany,leisure,Yes,120.74,0.25,summer cooling,845180.0
2025-02-16,water,tap_water,469.03,liters,Brazil,travel,No,0.14,0.0003,summer cooling,980.0
2025-06-20,water,bottled_water,125.6,liters,Australia,leisure,No,12.56,0.1,grocery run,87920.0
2025-06-29,energy,natural_gas,374.56,kg,USA,travel,No,861.49,2.3,morning commute,6030430.0
2025-01-31,energy,heating_oil,318.14,kg,Australia,home use,Yes,852.62,2.68,grocery run,5968340.0
2025-03-12,waste,paper,291.12,kg,USA,travel,Yes,524.02,1.8,solar usage,3668140.0
